,Customer ID,Outcome
0,945780,Paid
1,747989,Paid
2,790344,Paid
3,597668,Paid
4,794971,Defaulted
5,563000,Paid
6,1109089,Paid
7,763562,Paid
8,727243,Paid
9,827260,Paid
10,871886,Defaulted
11,899694,Paid
12,820916,Defaulted
13,977821,Defaulted
14,817398,Defaulted
15,1095868,Paid
16,973693,Defaulted
17,687118,Defaulted
18,608121,Paid
19,784391,Paid
20,1072180,Paid
21,1030954,Defaulted
22,892175,Paid
23,984774,Defaulted
24,610796,Defaulted
25,577499,Defaulted
26,654607,Paid
27,664618,Paid
28,639386,Defaulted
29,981387,Defaulted
30,592696,Paid
31,1041347,Paid
32,1092292,Paid
33,572808,Paid
34,991317,Defaulted
35,937214,Paid
36,1097946,Defaulted
37,1083794,Paid
38,991787,Paid
39,1108891,Defaulted
40,1049352,Paid
41,733305,Defaulted
42,979431,Paid
43,771718,Paid
44,673173,Paid
45,813939,Defaulted
46,870360,Paid
47,666371,Paid
48,889045,Paid
49,619329,Defaulted
50,879806,Paid
51,946361,Defaulted
52,1039259,Paid
53,979034,Paid
54,589831,Paid
55,932081,Paid
56,788967,Paid
57,724546,Paid
58,670662,Paid
59,861461,Defaulted
60,723607,Paid
61,988676,Defaulted
62,995019,Paid
63,642032,Paid
64,562809,Paid
65,585835,Defaulted
66,936973,Defaulted
67,784682,Paid
68,1075577,Defaulted
69,707817,Paid
70,770630,Defaulted
71,972772,Paid
72,916104,Paid
73,558337,Defaulted
74,1056971,Defaulted
75,857554,Paid
76,885331,Defaulted
77,971376,Defaulted
78,584190,Paid
79,952069,Paid
80,614205,Paid
81,852717,Paid
82,638775,Defaulted
83,1106967,Paid
84,950938,Paid
85,692470,Defaulted
86,675020,Paid
87,627740,Paid
88,828265,Paid
89,977889,Paid
90,632087,Defaulted
91,916945,Paid
92,646863,Defaulted
93,888473,Paid
94,714321,Paid
95,733559,Paid
96,857218,Paid
97,796300,Paid
98,807849,Paid
99,613238,Defaulted
100,933300,Defaulted
101,961859,Paid
102,1008898,Paid
103,907510,Defaulted
104,962995,Defaulted
105,785757,Paid
106,883567,Defaulted
107,928301,Defaulted
108,586905,Defaulted
109,767684,Defaulted
110,1093459,Defaulted
111,989560,Defaulted
112,1004017,Defaulted
113,585553,Paid
114,571683,Defaulted
115,1058044,Paid
116,1046284,Paid
117,769820,Paid
118,1060099,Paid
119,825196,Paid
120,653444,Defaulted
121,1041732,Paid
122,983329,Paid
123,844118,Defaulted
124,820449,Paid
125,870913,Paid
126,656689,Paid
127,964848,Paid
128,985402,Defaulted
129,880339,Defaulted
130,680695,Defaulted
131,1030412,Paid
132,1094934,Paid
133,641218,Defaulted
134,1096123,Defaulted
135,1000803,Paid
136,1102959,Defaulted
137,964396,Defaulted
138,862474,Defaulted
139,966391,Paid
140,711677,Paid
141,952608,Defaulted
142,717437,Defaulted
143,994229,Defaulted
144,1057275,Paid
145,760702,Paid
146,659646,Defaulted
147,755253,Defaulted
148,1060402,Paid
149,991339,Paid
150,795106,Defaulted
151,1023381,Defaulted
152,825563,Paid
153,803893,Paid
154,860741,Paid
155,569031,Paid
156,1093475,Paid
157,806279,Defaulted
158,563398,Defaulted
159,1101767,Defaulted
160,867911,Paid
161,946012,Defaulted
162,618927,Paid
163,969454,Paid
164,961628,Paid
165,627414,Defaulted
166,593375,Paid
167,844805,Paid
168,1083724,Paid
169,968994,Paid
170,908149,Paid
171,744844,Defaulted
172,590617,Paid
173,624572,Defaulted
174,766059,Defaulted
175,863196,Paid
176,679077,Paid
177,833575,Paid
178,707097,Defaulted
179,653733,Paid
180,765719,Paid
181,844122,Paid
182,1073242,Paid
183,611514,Paid
184,1040382,Paid
185,572572,Paid
186,1052153,Defaulted
187,666836,Paid
188,950950,Paid
189,871782,Paid
190,600100,Defaulted
191,1099114,Paid
192,809629,Paid
193,651363,Paid
194,871806,Defaulted
195,985856,Paid
196,632366,Paid
197,1026140,Paid
198,808540,Paid
199,622494,Paid
200,971848,Paid
201,940634,Paid
202,740494,Paid
203,1051389,Paid
204,1019205,Defaulted
205,868238,Defaulted
206,723685,Paid
207,640160,Paid
208,728205,Paid
209,792806,Defaulted
210,655090,Paid
211,999101,Defaulted
212,870898,Paid
213,930259,Paid
214,633971,Defaulted
215,947520,Paid
216,730480,Paid
217,1030721,Paid
218,738446,Paid
219,799563,Defaulted
220,660547,Paid
221,943878,Paid
222,803168,Paid
223,926252,Paid
224,896184,Paid
225,792396,Defaulted
226,664616,Defaulted
227,603539,Paid
228,610680,Defaulted
229,893890,Paid
230,1110511,Paid
231,601299,Defaulted
232,775222,Paid
233,889521,Defaulted
234,668919,Paid
235,807675,Paid
236,678376,Defaulted
237,828857,Defaulted
238,930975,Defaulted
239,671629,Defaulted
240,623964,Paid
241,1046558,Paid
242,725210,Paid
243,700336,Paid
244,1040643,Defaulted
245,1108939,Defaulted
246,895230,Paid
247,778872,Paid
248,761839,Defaulted
249,1099138,Paid
250,700310,Paid
251,618589,Paid
252,1079319,Paid
253,660406,Paid
254,852568,Paid
255,576570,Paid
256,1102853,Defaulted
257,1041965,Defaulted
258,967330,Defaulted
259,761731,Defaulted
260,955339,Paid
261,965652,Defaulted
262,780357,Paid
263,598761,Defaulted
264,873875,Defaulted
265,605086,Defaulted
266,814255,Paid
267,1025707,Paid
268,577612,Paid
269,916259,Defaulted
270,570099,Paid
271,886632,Defaulted
272,970114,Paid
273,1053088,Defaulted
274,842084,Paid
275,794317,Defaulted
276,1037519,Defaulted
277,804108,Paid
